City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,santiago de cao,-7.9589,-79.2392,22.07,88,75,3.09,PE,1691971895
173,ubinskoye,55.3068,79.6802,8.71,98,100,3.0,RU,1691971895
174,port elizabeth,-33.918,25.5701,12.16,76,0,5.14,ZA,1691971895
175,cutral-co,-38.9469,-69.2089,17.73,10,86,2.24,AR,1691971895
176,polyarnyy,69.1989,33.4478,15.2,81,97,1.88,RU,1691971896
177,yass,-34.8333,148.9167,9.34,96,100,4.05,AU,1691971896
178,ad dabbah,18.05,30.95,34.6,18,60,4.58,SD,1691971896
179,santo domingo,18.5001,-69.9886,27.18,88,40,0.0,DO,1691971652
180,williams lake,52.1415,-122.1445,30.09,29,86,0.64,CA,1691971896
181,aras-asan,8.8908,126.3033,27.18,76,100,1.29,PH,1691971897
182,harper,4.375,-7.7169,23.8,80,99,2.61,LR,1691971897
183,flin flon,54.7682,-101.865,21.57,53,88,2.28,CA,1691971897
184,christiana,-27.914,25.1611,10.71,31,0,3.31,ZA,1691971677
185,ogdensburg,44.6942,-75.4863,19.69,96,100,0.0,US,1691971897
186,iskateley,67.6803,53.1512,13.26,88,85,1.78,RU,1691971897
187,skalica,48.8449,17.2264,18.41,66,32,2.28,SK,1691971897
188,mana,5.6592,-53.7767,26.12,87,12,2.49,GF,1691971898
189,tadine,-21.55,167.8833,21.11,49,96,3.75,NC,1691971898
190,kirensk,57.7853,108.1119,20.1,79,57,2.19,RU,1691971898
191,st. john's,47.5649,-52.7093,18.42,88,29,4.95,CA,1691971899
192,meizhou,24.2977,116.1072,27.26,90,38,1.11,CN,1691971900
193,majene,-3.5403,118.9707,25.86,81,89,7.67,ID,1691971900
194,college,64.8569,-147.8028,22.34,43,100,3.09,US,1691971900
195,al jahra',29.3375,47.6581,36.46,14,0,5.35,KW,1691971900
196,hamilton,39.1834,-84.5333,28.57,59,0,3.09,US,1691971473
197,nadym,65.5333,72.5167,9.09,56,70,1.0,RU,1691971900
198,hawaiian paradise park,19.5933,-154.9731,28.91,72,40,4.12,US,1691971900
199,kavieng,-2.5744,150.7967,27.77,78,81,4.25,PG,1691971901
200,tianpeng,30.9866,103.9393,25.71,74,30,0.7,CN,1691971901
201,qaqortoq,60.7167,-46.0333,7.86,78,89,1.66,GL,1691971901
202,arteaga,18.4667,-102.4167,24.27,86,36,1.27,MX,1691971626
203,ust'-ilimsk,58.0006,102.6619,19.25,61,5,0.43,RU,1691971901
204,chui,-33.6971,-53.4616,8.69,61,77,3.54,UY,1691971901
205,betioky,-23.7167,44.3833,18.65,68,56,1.67,MG,1691971901
206,santa cruz,-17.8,-63.1667,17.03,48,75,4.12,BO,1691971137
207,matoury,4.8483,-52.3317,25.98,89,0,0.0,GF,1691971902
208,bryne,58.7354,5.6477,16.08,95,75,4.12,NO,1691971902
209,chake chake,-5.2459,39.7666,22.74,90,7,4.02,TZ,1691971902
210,leca da palmeira,41.191,-8.7003,16.08,93,0,2.06,PT,1691971902
211,qarah bagh,34.9402,61.7759,17.35,27,0,8.65,AF,1691971902
212,gadzhiyevo,69.2551,33.3362,14.0,83,100,2.52,RU,1691971902
213,tumut,-35.3,148.2167,9.27,94,100,0.76,AU,1691971903
214,klyuchi,52.2667,79.1667,10.37,85,98,3.34,RU,1691971903
215,ancud,-41.8697,-73.8203,10.61,99,100,4.37,CL,1691971810
216,cartagena del chaira,1.3349,-74.8429,22.62,89,78,1.11,CO,1691971903
217,puerto deseado,-47.7503,-65.8938,4.82,76,54,2.59,AR,1691971903
218,mek'ele,13.4967,39.4753,17.91,75,12,1.2,ET,1691971903
219,dudinka,69.4058,86.1778,12.57,69,57,1.14,RU,1691971903
220,lebu,-37.6167,-73.65,11.74,88,87,2.27,CL,1691971903
221,loukhi,66.0764,33.0381,14.31,95,84,2.23,RU,1691971904
222,neiafu,-18.65,-173.9833,25.38,83,75,3.6,TO,1691971904
223,muscat,23.6139,58.5922,38.01,50,6,1.72,OM,1691971904
224,sferracavallo,42.726,12.0956,22.12,81,0,0.71,IT,1691971904
225,kaya,13.0917,-1.0844,27.11,75,100,4.08,BF,1691971904
226,cabo san lucas,22.8909,-109.9124,35.34,58,20,5.14,MX,1691971828
227,georgetown,5.4112,100.3354,27.19,95,40,1.54,MY,1691971478
228,de aar,-30.6497,24.0123,9.78,35,0,1.38,ZA,1691971905
229,ta`u,-14.2336,-169.5144,27.62,77,42,6.47,AS,1691971905
230,vila franca do campo,37.7167,-25.4333,21.23,91,82,2.22,PT,1691971905
231,ubatuba,-23.4339,-45.0711,19.13,95,100,3.32,BR,1691971905
232,markovo,57.3206,107.0881,19.93,76,17,1.58,RU,1691971905
233,victoria de durango,24.0333,-104.6667,29.79,28,40,3.6,MX,1691971669
234,fale old settlement,-9.3852,-171.2468,28.39,73,21,7.99,TK,1691971906
235,nyala,12.05,24.8833,24.66,78,100,1.03,SD,1691971906
236,broome,42.2506,-75.833,21.67,75,38,2.24,US,1691971906
237,huarmey,-10.0681,-78.1522,20.47,82,35,4.01,PE,1691971906
238,ponta delgada,37.7333,-25.6667,21.4,88,75,4.63,PT,1691971906
239,boa vista,2.8197,-60.6733,29.81,49,71,3.29,BR,1691971906
240,fort bragg,35.139,-79.006,32.85,62,40,3.6,US,1691971906
241,tura,25.5198,90.2201,22.82,97,99,1.36,IN,1691971906
242,portland,45.5234,-122.6762,39.72,26,20,4.12,US,1691971548
243,umm kaddadah,13.6017,26.6876,24.17,69,100,7.32,SD,1691971907
244,maceio,-9.6658,-35.7353,23.72,71,15,3.51,BR,1691971751
245,chonchi,-42.6128,-73.8092,11.18,99,100,1.78,CL,1691971907
246,nova vicosa,-17.8919,-39.3719,22.4,82,31,3.51,BR,1691971685
247,mejit,10.2753,170.8646,28.32,74,35,6.92,MH,1691971907
248,yashan,22.1975,109.9419,26.64,92,100,1.06,CN,1691971907
249,el calafate,-50.3408,-72.2768,0.06,80,56,1.06,AR,1691971907
250,mizunami,35.3667,137.25,30.77,63,84,1.77,JP,1691971719
251,phan rang-thap cham,11.5667,108.9833,29.26,64,11,1.35,VN,1691971907
252,nova sintra,14.8667,-24.7167,23.7,86,49,5.59,CV,1691971908
253,port isabel,26.0734,-97.2086,33.04,66,0,8.23,US,1691971621
254,garachico,28.7781,-17.7646,22.06,88,2,7.2,ES,1691971908
255,tobelo,1.7284,128.0095,27.58,76,100,2.57,ID,1691971908
256,qamdo,31.1667,97.2333,8.59,78,100,0.94,CN,1691971908
257,ishigaki,24.3448,124.1572,28.99,78,42,2.29,JP,1691971908
258,beau vallon,-20.4189,57.6953,23.13,83,75,4.63,MU,1691971908
259,prince rupert,54.3161,-130.3201,14.83,100,100,3.6,CA,1691971908
260,plettenberg bay,-34.0527,23.3716,11.11,82,2,3.12,ZA,1691971909
261,den burg,53.0542,4.7972,16.11,93,100,3.09,NL,1691971909
262,southbury,41.4815,-73.2132,26.65,73,0,2.06,US,1691971909
263,coahuayana de hidalgo,18.7,-103.6583,30.13,77,27,1.97,MX,1691971909
264,thompson,55.7435,-97.8558,25.09,33,20,4.12,CA,1691971909
265,chitipa,-9.7024,33.2697,12.66,96,0,1.88,MW,1691971909
266,cockburn town,21.4612,-71.1419,29.08,78,2,6.7,TC,1691971909
267,axim,4.8699,-2.2405,23.93,89,78,4.95,GH,1691971909
268,kishtwar,33.3167,75.7667,19.56,94,80,0.52,IN,1691971910
269,brisas de zicatela,15.8369,-97.0419,31.29,66,75,2.57,MX,1691971910
270,lompoc,34.6391,-120.4579,31.12,77,75,2.68,US,1691971910
271,isafjordur,66.0755,-23.124,10.94,58,6,3.5,IS,1691971910
272,luang namtha,20.9497,101.4011,23.32,100,100,0.18,LA,1691971910
273,corner brook,48.9667,-57.9484,17.09,95,62,0.53,CA,1691971910
274,machico,32.7,-16.7667,25.4,79,20,9.26,PT,1691971910
275,shizunai-furukawacho,42.3339,142.3669,23.31,76,58,2.86,JP,1691971910
276,gharyan,32.1722,13.0203,20.09,61,0,3.1,LY,1691971911
277,yuzhno-kurilsk,44.0306,145.8556,14.9,74,34,6.17,RU,1691971911
278,sekong,-6.3996,106.0252,22.71,81,11,0.64,ID,1691971911
279,manokwari,-0.8667,134.0833,26.88,76,100,0.49,ID,1691971911
280,paracuru,-3.41,-39.0306,26.73,85,67,6.13,BR,1691971911
281,carolina beach,34.0352,-77.8936,31.04,83,82,2.57,US,1691971911
282,canutama,-6.5339,-64.3831,23.78,84,100,2.3,BR,1691971911
